Conditions,Outcome Measures
COVID-19 Infection|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm,"Changes in the Patient Reported Outcome Measurement Information System (PROMIS) Anxiety Short Form over time|Changes in the Patient Reported Outcome Measurement Information System (PROMIS) Depression Short Form over time|Changes in the Functional Assessment of Cancer Therapy (FACT-G) scores, Patient-reported severity of depression|Patient-reported severity of anxiety|Patient-reported severity of distress|Patient-reported physical symptoms|Substance use|Patient-reported coping strategy|Patient-reported levels of apathy|Patient-reported engagement in the 5 health behaviors endorsed by World Health Organization intended to curb the spread of the coronavirus, Experiences during the coronavirus disease 2019 (COVID-19) pandemic|COVID-19-specific psychological distress|COVID-19-specific health|COVID-19-specific financial and social disruptions|COVID-19-specific perceived benefits and social support|COVID-19-specific health related quality of life (HRQoL)|Effects of COVID-19 experiences on COVID-19-specific psychological distress and HRQoL, Coronavirus disease 2019 (COVID-19) specific psychological stress|Survey responses|Patient reported outcomes|Changes of survey responses|Changes in discrete responses|Incidence of survey question non-response"
COVID-19 Infection|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Metastatic Malignant Solid Neoplasm,Patient variables (factors) associated with severe acute respiratory syndrome (SARS) coronavirus 2 (COVID-19) severity|Effects of COVID-19 on cancer therapy and association with clinical outcomes|Physical health (patient-reported health-related quality of life)
COVID-19 Infection|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Neuropathy,Health-related quality of life and coronavirus disease 2019 (COVID-19)-specific domains of interest|COVID-19 experiences and COVID-19 specific distress|Differences in outcomes between neuropathic pain patients|Coping and resilience factors
COVID-19 Infection|Malignant Solid Neoplasm,"Coronavirus disease-2019 (COVID19)-specific psychological distress|The extent to which COVID-19 experiences are associated with COVID-19 specific psychological distress, health, financial and social disruptions, perceived benefits and social support, and health-related quality of life (HRQoL)|Resiliency factors|Group differences in the outcomes assessed in the protocol relative to prior group assignment in the behavioral clinical trials|Health-related quality of life (HRQOL)|General quality of life (QOL)|Sleep disturbances|Depression|Changes in anxiety|Perceived availability of social support|Elements of mindfulness|Non-judgmental physical and emotional sensations associated with eating|The degree to which participants exercise compassion towards themselves under difficult circumstances and how this impacts their emotions|Physical activity|Intrusive thoughts, or the tendency to ruminate on or avoid thoughts about stressors|Basic fruit/vegetable intake|Usual intake of percentage energy from fat|Engagement in the core mind-body practices that the patients learned"
COVID-19 Infection|Melanoma,Experiences during the COVID-19 pandemic|COVID-19-specific psychological distress|COVID-19-specific health|COVID-19-specific financial and social disruptions|COVID-19-specific perceived benefits and social support|COVID-19-specific health related quality of life (HRQoL)|Effects of COVID-19 experiences on COVID-19-specific psychological distress and HRQoL|Prior lifestyle data
COVID-19 Infection|Parathyroid Gland|Parathyroid Hormone|Calcium|Phosphorus|Alkaline Phosphatase,Comparison of parathyroid hormone between groups|Comparison of calcium between groups|Comparison of phosphorus between groups|Comparison of alkaline phosphatase between groups|White blood cells (WBC) results of Covid 19 patient group|Neutrophil / lymphocyte ratio (N/LO) results of Covid 19 patient group|C-reactive protein (CRP) results of Covid 19 patient group|Fibrinogen results of Covid 19 patient group|Procalcitonin results of Covid 19 patient group|Ferritin results of Covid 19 patient group|D-dimer results of Covid 19 patient group
COVID-19 Infection|Sars-cov-2|Respiratory Failure|Palliative Situation,Efficacy of mild to moderate palliative sedation induced by Dexmedetomidine.|Overall survival of patients on Dexmedetomidine|Daily analgesic effect of Dexmedetomidine|Other sedative pharmacological agents|Average dosage required for Dexmedetomidine to achieve mild to moderate sedation
COVID-19 Infection|Thyroid Function Tests|Inflammation; Thyroid|Inflammatory Markers,Comparison of thyroid stimulating hormone (TSH) between groups|Comparison of free triiodothyronine (fT3) between groups|Comparison of free thyroxine (fT4) between groups|Comparison of anti-thyroid peroxidase (Anti-TPO) between groups|Comparison of anti-thyroglobulin (Anti-Tg) between groups|White blood cells (WBC) results of Covid 19 patient group|Neutrophil / lymphocyte ratio (N/LO) results of Covid 19 patient group|C-reactive protein (CRP) results of Covid 19 patient group|Fibrinogen results of Covid 19 patient group|Procalcitonin results of Covid 19 patient group|Ferritin results of Covid 19 patient group|D-dimer results of Covid 19 patient group
COVID-19 OUTBREAK AND SOLID ORGAN TRANSPLANTATION,Management of Solid Organ Transplant during COVID-19 pandemic|Equity of resource distribution|Equity rank of resource distribution
COVID-19 Pandemic,"Retrospective analysis of the management of neurosurgical pathologies in a health crisis situation of the Covid-19 pandemic, The Psychosocial Effects of COVID-19 Pandemic on Dental Professionals Using the Turkish Version of the Fear of COVID-19 Scale|The Psychosocial Effects of COVID-19 Pandemic Using the Turkish Version of the Coronavirus Anxiety Scale, Number of days an individual person was absent"
COVID-19 Pandemics|Obstetrics and Gynecology|Workload|Questionnaire|National Survey|China,The changes of workload of physicians during COVID-19 pandemics compared with 2019 year|The changes of education activities during COVID-19 pandemics compared with 2019 year|The changes of research activities during COVID-19 pandemics compared with 2019 year
COVID-19 Pandemic|Vulnerable Subjects|Long-term Non-invasive Ventilation,Questionnaire
COVID-19 Patients,"Incidence of Treatment-Emergent Adverse Events|Time to SARS-CoV-2 eradication (days) by Nasopharyngeal specimen|Rate of SARS-CoV-2 eradication by Nasopharyngeal specimen, Time to Clinical improvement (TTCI)|Clinical failure defined as death or need for Intubation and mechanical ventilation|Adverse effects|QT interval prolongation|Failure to continue assigned therapy|Time to viral clearance, Virological clearance|Remission of fever|Remission of cough|Patients requiring oxygen|Patients failing to maintain SpO2 >93% despite oxygenation|Number of days on oxygen support|Duration of hospitalization|All causes of mortality, Incidence of Treatment-Emergent Adverse Events|To assess PK parameters of niclosamide injectable (DWRX2003) through Cmax|To assess PK parameters of niclosamide injectable (DWRX2003) through tmax|To assess PK parameters of niclosamide injectable (DWRX2003) through AUC0-last|To assess PK parameters of niclosamide injectable (DWRX2003) through AUC0-∞|To assess PK parameters of niclosamide injectable (DWRX2003) through t1/2"
COVID-19 Pnemonia,"Treatment success, defined as number of patients not requiring mechanical ventilation to assess the effect of anakinra in addition to standard treatment on the need for mechanical ventilation in patients with severe COVID-19 and CSS pneumonia.|Number of patients not requiring mechanical ventilation to assess the effect of anakinra in addition to standard treatment on the need for mechanical ventilation in patients with severe COVID-19 and CSS pneumonia.|Time to mechanical ventilation to assess the effect of anakinra in addition to standard treatment on the need for mechanical ventilation in patients with severe COVID-19 and CSS pneumonia.|Time to oxygen saturation normalization to assess the effect of anakinra in addition to standard treatment on the need for mechanical ventilation in patients with severe COVID-19 and CSS pneumonia.|Stay in ICU and hospitalization to assess the effect of anakinra in addition to standard treatment on the need for mechanical ventilation in patients with severe COVID-19 and CSS pneumonia.|Total mortality rate to assess the effect of anakinra in addition to standard treatment on mortality in patients with severe COVID-19 and CSS pneumonia.|Mortality 48 hours, 7 days, in ICU and hospital to assess the effect of anakinra in addition to standard treatment on mortality in patients with severe COVID-19 and CSS pneumonia.|Viral clearance / viral shedding to assess the effect of anakinra in addition to standard treatment on mortality in patients with severe COVID-19 and CSS pneumonia.|To assess the effect of anakinra in addition to standard treatment on mortality in patients with severe COVID-19 and CSS pneumonia."
COVID-19 Pneumonia,"Number of Participants with Treatment emergent adverse events (TEAEs)|Pharmacokinetic (PK) Plasma Concentrations of Lanadelumab|Percentage Change from Baseline in Plasma Kallikrein Activity (pKal)|Percentage Change from Baseline in Cleaved High Molecular Weight Kininogen (cHMWK)|Percentage Change from Baseline in Functional C1-Inhibitor (C1-INH), Mortality at day 30|Ventilated Subjects - Ventilator Free Days|Ventilated Subjects - Improvement in Ventilator Settings|High-Flow O2 Support Subjects - Step-Down O2 Therapy|High Flow O2 Support Subjects - Respiration Rate|Both Ventilated and High-Flow O2 Support Subjects - ICU-Free Days|Both Ventilated and High-Flow O2 Support Subjects - Pulmonary Function Improvement|Both Ventilated and High-Flow O2 Support Subjects - Increased Berlin Score, Time from randomization to hospital discharge or ""ready for discharge"" up to Day 28|Time to mechanical ventilation or death up to Day 28, defined as the time from randomization to the first occurrence of mechanical ventilation or death (whichever occurs first)|Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status up to Day 28|Clinical status as assessed by the investigator using a 7-category ordinal scale of clinical status on Days 7, 14, 21, 28, and 60|Proportion of participants requiring initiation of mechanical ventilation post-baseline up to Day 28 and Day 60 (participants who do not require mechanical ventilation at baseline)|Proportion of participants who are alive and free of respiratory failure at (participants requiring mechanical ventilation at baseline) at Day 28 and Day 60|Duration of mechanical ventilation (participants requiring mechanical ventilation at baseline) up to Day 28|Time to death up to Days 28 and 60|Mortality on Days 14, 28, and 60 (proportions at specified timepoints)|Time to recovery up to Day 28, defined as the time from randomization to the time when a category of 2 on the 7-category ordinal scale (non-ICU hospital ward or ""ready for hospital ward"" not requiring supplemental oxygen) or better is observed|Proportion of participants who are discharged or ""ready for discharge"" up to Day 28|Proportion of participants who require initiation of mechanical ventilation post-baseline or die up to Day 28, Entry into Intensive Care with invasive mechanical ventilation or death from any cause or clinical aggravation|Death from any cause|Tocilizumab toxicity|Levels of interleukin-6 and C-reactive protein (CRP) and their correlation with the effectiveness of the treatment|Evaluate the progress of the PaO2 / FiO2 ratio|Evaluate the trend over time of the lymphocyte count, Changes of oxygenation index (PaO2/FiO2) ,blood gas test|Detection of TNF-α levels, IL-10 levels|Detection of immune cells that secret cytokines, including CXCR3+, CD4+, CD8+, NK+ cells, and regulatory T cells (CD4 + CD25 + FOXP3 + Treg cells).|Changes of c-reactive protein and calcitonin, Percentage of patients with complete recovery defined as fever disappearance and return to normal peripheral oxygen saturation values (SpO2) after 14 days from the end of treatment with tocilizumab.|Percentage of patients achieving a score <3 on the Brescia-COVID respiratory severity scale (BCRSS) after the last tocilizumab administration.|Percentage of patients with partial recovery defined as the disappearance of fever 14 days after the end of treatment with tocilizumab.|Duration of hospitalization|Time to the first negative SARS-CoV-2 negative RT-PCR test|Changes from the baseline in the white blood cell count|Changes from the baseline in the lymphocyte populations (cluster of differentiation (CD)3+CD4+, CD3+CD8+, CD19+, Th17)|Changes from the baseline of c-reactive protein (CRP) values|Changes from the baseline of Ferritin values|Changes from the baseline of BNP values|Changes from the baseline of CK-MB values|Changes from the baseline of Troponin values|Changes from the baseline of LDH values|Changes from the baseline of myoglobulin values|Changes in myocardial ischemia signs at the electrocardiographic trace (YES or NO)|Rate of adverse events report during and after tocilizumab|Mortality (number of Partecipants, cause and timing)|Percentage of patients who develop autoimmune diseases, The time from randomization to clinical improvement, Change in 6 Minute Walking Test|Respiratory evaluations|Respiratory muscle strength|Functional evaluations - 1 Minute Sit To Stand|Functional capacity with Short Physical Performance Battery (SPPB)|Clinical symptoms with Barthel Dyspnea Index|Fatigue Severity Scale|SF-12, Lung diffusing capacity for nitric oxide (DLNO)|Lung diffusing capacity for carbon monoxide (DLco), Rate of patients achieving improvement in clinical condition at day 14 after recruitment|Mortality at day 28|Rate of patients achieving improvement in clinical condition at day 28 after recruitment|Rate of patients achieving improvement in clinical condition at day 7 after recruitment|Time to clinical improvement or hospital discharge|Number of ventilator-free days at 28 days|Hospital length of stay|Time to a 2-fold decrease in ferritin|Time to a 2-fold decrease in C-protein reactive|Time to a 2-fold decrease in Dimer-D|Time to a 2-fold decrease in Lactate Dehydrogenase|Time to a 2-fold decrease in Neutrophils to Lymphocytes ratio, Mean hospitalization time|Mean Oxigenation index evolution|Rate of severe ARDS|Rate and time to dead|Mean time with invasive mechanical ventilation|Time to Viral PCR Negativization, Time to clinical improvement|Rate of patients with Clinical improvement at day 14|Rate of patients with Clinical improvement at day 28|Time to a 2-fold decrease of C-protein reactive from baseline|Time to a 2-fold decrease of ferritin from baseline|Time to a 2-fold decrease of Lactate Dehydrogenase from baseline|Time to a 2-fold decrease of D-dimer from baseline, Change in Clinical Condition|Rate of mortality within 10-days|Change of Clinical symptoms - respiratory rate|Hypoxia|PaO2 / FiO2 ratio|CD4+ and CD8+ T cell count|Changes of blood oxygen|Side effects in the treatment group|Complete blood count, cardiac, hepatic and renal profiles;, Leg Blood Flow|Clinical evaluations|Clinical characteristics|Presence of device|Therapy|Biochemical evaluations - ProBNP|Biochemical evaluations - D-dimer|Biochemical evaluations - PCR|Functional evaluations - 1-Minute Sit To Stand|Functional evaluations - 6-Minute Walking Test|Functional evaluations - Biceps' muscle strength with dynamometer|Functional evaluations - Quadriceps' muscle strength with dynamometer, time to clinical improvement|Safety of treatments|Tolerability of treatments, Cumulative Proportion of Participants Requiring Mechanical Ventilation by Day 28|Time to Improvement of at Least 2 Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status|Time to Clinical Failure, Defined as the Time to Death, Mechanical Ventilation, ICU Admission, or Withdrawal (whichever occurs first)|Mortality Rate by Day 28|Time to Hospital Discharge or ""Ready for Discharge"" (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or >/= 2 liters (L) supplemental oxygen)|Percentage of Participants with Adverse Events|Percentage of Participants with any Post-Treatment Bacterial and/or Fungal Infection|Incidence of Post-Treatment Acute Kidney injury (defined by 50% increase of creatinine from baseline)|Quality of Life (QoL) as Reported by the Short Form 36 Question Health Survey Version 2 (SF-36v2)|QoL as Reported by the Euro-QoL-5D-5-L (EQ-5D-5L) Instrument|QoL as Reported by Living with Idiopathic Pulmonary Fibrosis Symptoms Questionnaire-Modified (L-IPF-M)|QoL as Reported by the Montreal Cognitive Assessment (MoCA)|Lung Texture as Measured by High-Resolution Computed Tomography (HRCT) Scan of Chest|Prevalence and Incidence of COVID-19 Antibodies, Proportion of patients who have achieved withdrawal of invasive mechanical ventilation|Rate of mortality|Proportion of patients who have achieved clinical response|Proportion of patients who have achieved radiological responses, Change in pulmonary diffusion., Time to Recovery, Defined as the Time to a Score of 1 or 2 on the 7-Category Ordinal Scale (Whichever Occurs First)|Time to Improvement of at Least 2 Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status|Time to Hospital Discharge or ""Ready for Discharge""|Duration of Supplemental Oxygen|Percentage of Participants Alive and Free of Respiratory Failure|Clinical Status, Assessed Using a 7-Category Ordinal Scale|Incidence of Invasive Mechanical Ventilation or Extracorporeal Membrane Oxygenation (ECMO)|Ventilator-Free Days|Incidence of Intensive Care Unit (ICU) Stay|Duration of ICU Stay|Time to Clinical Failure, Defined as the Time to Death, Mechanical Ventilation, ICU Admission, or Withdrawal of Care (Whichever Occurs First)|Mortality Rate at Days 14 and 28|Time to Clinical Improvement, Defined as a National Early Warning Score 2 (NEWS2) of ≤2 Maintained for 24 hours|Incidence and Severity of Adverse Events, with Severity Determined According to National Cancer Institute Common Terminology Criteria for Adverse Events, Version 5.0 (NCI CTCAE v5.0)|Change from Baseline in Respiratory Rate|Change from Baseline in Pulse Rate|Change from Baseline in Systolic Blood Pressure|Change from Baseline in Diastolic Blood Pressure|Change from Baseline in Body Temperature|Change from Baseline in Oxygen Saturation|Change from Baseline in RR, QRS, PR, QT, and QTcF Intervals, as Measured by Electrocardiogram (ECG)|Change from Baseline in Heart Rate, as Measured by Electrocardiogram (ECG)|Number of Participants with Clinical Laboratory Test Abnormalities in Hematology Parameters|Number of Participants with Clinical Laboratory Test Abnormalities in Blood Chemistry Parameters|Serum Concentration of UTTR1147A at Specified Timepoints|Serum Concentration of MSTT1041A at Specified Timepoints|Prevalence of Anti-Drug Antibodies (ADAs) at Baseline and Incidence of ADAs During the Study, Overall mortality|Clinical outcome assessment|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|Time to negative SARS-CoV-2 test, Short Physical Performance Battery (SPPB) Score|Functional Independence Measure (FIM) Scale Score|Fatigue Severity Scale Score|Muscle Strength|Two Step Test Length|Six Minutes Walking Test Distance|Muscle Thickness, Time to recovery of peripheral capillary oxygen saturation (SpO2) from baseline|28-day all-cause mortality rate|Percentage of patients who progress to critical severe|Percentage of subjects achieving recovery in SpO2|Mean change of PaO2/FiO2|Mechanical ventilation time|Time of oxygen therapy|Change in inflammation indicators (CRP or IL-6 etc.) from baseline|Improvement in body temperature|Mean change from baseline in the clinical improvement based on ordinal scale recommended by the WHO R&D Blueprint during treatment period|Improvement at D3, 7, 11 & D14 based on ordinal scale recommended by the WHO R&D Blueprint during treatment period|Time to get categories 1 to 4 in the 8-points ordinal scale|Time to attain an improvement of 1 point on the ordinal scale, Evolution of patient status|Assessment of Clinical improvement|Additional visit to the Emergency room|Need for hospitalization|Occurrence of adverse events, Changes of oxygenation index PaO2/FiO2, most conveniently the P/F ratio.|Changes in length of hospital stay|Changes in mortality rate|Changes of С-reactive protein (CRP, mg/L)|Evaluation of Pneumonia Improvement|Duration of respiratory symptoms (difficulty breathing, dry cough, fever, etc.)|Peripheral blood count recovery time, Lethality rate two weeks after registration|Lethality rate one month after registration|Interleukin-6 level|Lymphocyte count|CRP (C-reactive protein) level|PaO2 (partial pressure of oxygen) / FiO2 (fraction of inspired oxygen, FiO2) ratio (or P/F ratio)|Change of the SOFA (Sequential Organ Failure Assessment)|Number of participants with treatment-related side effects as assessed by Common Terminology Criteria for Adverse Event (CTCAE) version 5.0|Radiological response|Duration of hospitalization|Remission of respiratory symptoms, residual plasma concentration|The number of days without artificial ventilation|The length of hospital stay in intensive care|Survival|Viral replication in the control bronchoalveolar lavage fluid on Day 7|Viral replication in the control bronchoalveolar lavage fluid on Day 14, Clinical Status Assessed Using a 7-Category Ordinal Scale|Time to Clinical Improvement (TTCI), Defined as a National Early Warning Score 2 (NEWS2) of </= 2 Maintained for 24 Hours|Time to Improvement of at Least 2 Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status|Incidence of Mechanical Ventilation|Ventilator-Free Days to Day 28|Incidence of Intensive Care Unit (ICU) Stay|Duration of ICU Stay|Time to Clinical Failure|Mortality Rate|Time to Hospital Discharge|Time to Recovery|Duration of Time on Supplemental Oxygen|Percentage of Participants with Adverse Events|COVID-19 (SARS-CoV-2) Viral Load Over Time|Time to Reverse-Transcriptase Polymerase Chain Reaction (RT-PCR) Virus Negativity|Proportion of Participants with Post-Treatment Infection|Serum Concentration of IL-6|Serum Concentration of sIL-6R|Serum Concentration of Ferritin|Serum Concentration of C-Reactive Protein (CRP)|Serum Concentration of TCZ, Serum Concentration of interleukin-6 (IL-6) Following Administration of 8 mg/kg IV TCZ|Serum Concentration of Soluble Interleukin-6 Receptor (sIL-6R) Following Administration of 8 mg/kg IV TCZ|Serum Concentration of Ferritin Following Administration of 8 mg/kg IV TCZ|Serum Concentration of C-reactive Protein (CRP) Following Administration of 8 mg/kg IV TCZ|Serum Concentration of IL-6 Following Administration of 4 mg/kg IV TCZ|Serum Concentration of sIL-6R Following Administration of 4 mg/kg IV TCZ|Serum Concentration of Ferritin Following Administration of 4 mg/kg IV TCZ|Serum Concentration of CRP Following Administration of 4 mg/kg IV TCZ|Pecentage of Participants with Adverse Events|Severe Acute Respiratory Syndrome Corona Virus 2 (SARS-CoV-2) (COVID-19) Viral Load Over Time|Time to Real-Time Polymerase Chain Reaction (RT-PCR) Virus Negativity|Proportion of Participants with any Post-Treatment Infection, Clinical improvement|improvement of laboratory and imaging parameters, Rate of positive SARS-CoV-2 RT-PCR|Clinical evolution on the World Health Organization Ordinal Scale for Clinical Improvement for COVID-19|Total duration of antibiotic treatment during the 30 days following inclusion|Number of all-cause mortality during the 30 days following inclusion|Number of in-hospital mortality during the 30 days following inclusion|Number of patients transferred to intensive care unit during the 30-day follow-up|Number of days without mechanical ventilation during the 30 days following inclusion|adverse events attributable to antibiotic treatment during the 30 days following inclusion|Hospital length of stay during the 30 days following inclusion"
